section,metric,value
nulls,total_columns_with_nulls,0
nulls,all_null_issues,{}
nulls,priority_alert_issues,{}
duplicates,exact_mirror_duplicates,0
duplicates,duplicate_sample,[]
schema,missing_from_type_rules,"['TOTAL Hombres', 'TOTAL Mujeres', 'agresor', 'armas_medios', 'cantidad', 'ciclo_vital', 'circunstancia', 'dia_hecho', 'dias_incapacidad', 'dimension_agresor', 'dimension_circunstancia', 'dimension_discapacidad', 'dimension_escenario', 'dimension_etnia', 'discapacidad', 'escenario', 'etnia', 'factor', 'genero_victima', 'grupo_edad', 'grupo_etario', 'hora_rango', 'mes_hecho', 'pob_f_total', 'pob_h_total', 'sexo_agresor', 'tipo_delito', 'total_m']"
schema,extra_columns_not_in_rules,"['DP', 'TOTAL (AMBOS SEXOS) Total 0 años', 'TOTAL (AMBOS SEXOS) Total 1 año', 'TOTAL (AMBOS SEXOS) Total 10 años', 'TOTAL (AMBOS SEXOS) Total 100 años y más', 'TOTAL (AMBOS SEXOS) Total 11 años', 'TOTAL (AMBOS SEXOS) Total 12 años', 'TOTAL (AMBOS SEXOS) Total 13 años', 'TOTAL (AMBOS SEXOS) Total 14 años', 'TOTAL (AMBOS SEXOS) Total 15 años', 'TOTAL (AMBOS SEXOS) Total 16 años', 'TOTAL (AMBOS SEXOS) Total 17 años', 'TOTAL (AMBOS SEXOS) Total 18 años', 'TOTAL (AMBOS SEXOS) Total 19 años', 'TOTAL (AMBOS SEXOS) Total 2 años', 'TOTAL (AMBOS SEXOS) Total 20 años', 'TOTAL (AMBOS SEXOS) Total 21 años', 'TOTAL (AMBOS SEXOS) Total 22 años', 'TOTAL (AMBOS SEXOS) Total 23 años', 'TOTAL (AMBOS SEXOS) Total 24 años', 'TOTAL (AMBOS SEXOS) Total 25 años', 'TOTAL (AMBOS SEXOS) Total 26 años', 'TOTAL (AMBOS SEXOS) Total 27 años', 'TOTAL (AMBOS SEXOS) Total 28 años', 'TOTAL (AMBOS SEXOS) Total 29 años', 'TOTAL (AMBOS SEXOS) Total 3 años', 'TOTAL (AMBOS SEXOS) Total 30 años', 'TOTAL (AMBOS SEXOS) Total 31 años', 'TOTAL (AMBOS SEXOS) Total 32 años', 'TOTAL (AMBOS SEXOS) Total 33 años', 'TOTAL (AMBOS SEXOS) Total 34 años', 'TOTAL (AMBOS SEXOS) Total 35 años', 'TOTAL (AMBOS SEXOS) Total 36 años', 'TOTAL (AMBOS SEXOS) Total 37 años', 'TOTAL (AMBOS SEXOS) Total 38 años', 'TOTAL (AMBOS SEXOS) Total 39 años', 'TOTAL (AMBOS SEXOS) Total 4 años', 'TOTAL (AMBOS SEXOS) Total 40 años', 'TOTAL (AMBOS SEXOS) Total 41 años', 'TOTAL (AMBOS SEXOS) Total 42 años', 'TOTAL (AMBOS SEXOS) Total 43 años', 'TOTAL (AMBOS SEXOS) Total 44 años', 'TOTAL (AMBOS SEXOS) Total 45 años', 'TOTAL (AMBOS SEXOS) Total 46 años', 'TOTAL (AMBOS SEXOS) Total 47 años', 'TOTAL (AMBOS SEXOS) Total 48 años', 'TOTAL (AMBOS SEXOS) Total 49 años', 'TOTAL (AMBOS SEXOS) Total 5 años', 'TOTAL (AMBOS SEXOS) Total 50 años', 'TOTAL (AMBOS SEXOS) Total 51 años', 'TOTAL (AMBOS SEXOS) Total 52 años', 'TOTAL (AMBOS SEXOS) Total 53 años', 'TOTAL (AMBOS SEXOS) Total 54 años', 'TOTAL (AMBOS SEXOS) Total 55 años', 'TOTAL (AMBOS SEXOS) Total 56 años', 'TOTAL (AMBOS SEXOS) Total 57 años', 'TOTAL (AMBOS SEXOS) Total 58 años', 'TOTAL (AMBOS SEXOS) Total 59 años', 'TOTAL (AMBOS SEXOS) Total 6 años', 'TOTAL (AMBOS SEXOS) Total 60 años', 'TOTAL (AMBOS SEXOS) Total 61 años', 'TOTAL (AMBOS SEXOS) Total 62 años', 'TOTAL (AMBOS SEXOS) Total 63 años', 'TOTAL (AMBOS SEXOS) Total 64 años', 'TOTAL (AMBOS SEXOS) Total 65 años', 'TOTAL (AMBOS SEXOS) Total 66 años', 'TOTAL (AMBOS SEXOS) Total 67 años', 'TOTAL (AMBOS SEXOS) Total 68 años', 'TOTAL (AMBOS SEXOS) Total 69 años', 'TOTAL (AMBOS SEXOS) Total 7 años', 'TOTAL (AMBOS SEXOS) Total 70 años', 'TOTAL (AMBOS SEXOS) Total 71 años', 'TOTAL (AMBOS SEXOS) Total 72 años', 'TOTAL (AMBOS SEXOS) Total 73 años', 'TOTAL (AMBOS SEXOS) Total 74 años', 'TOTAL (AMBOS SEXOS) Total 75 años', 'TOTAL (AMBOS SEXOS) Total 76 años', 'TOTAL (AMBOS SEXOS) Total 77 años', 'TOTAL (AMBOS SEXOS) Total 78 años', 'TOTAL (AMBOS SEXOS) Total 79 años', 'TOTAL (AMBOS SEXOS) Total 8 años', 'TOTAL (AMBOS SEXOS) Total 80 años', 'TOTAL (AMBOS SEXOS) Total 81 años', 'TOTAL (AMBOS SEXOS) Total 82 años', 'TOTAL (AMBOS SEXOS) Total 83 años', 'TOTAL (AMBOS SEXOS) Total 84 años', 'TOTAL (AMBOS SEXOS) Total 85 años', 'TOTAL (AMBOS SEXOS) Total 86 años', 'TOTAL (AMBOS SEXOS) Total 87 años', 'TOTAL (AMBOS SEXOS) Total 88 años', 'TOTAL (AMBOS SEXOS) Total 89 años', 'TOTAL (AMBOS SEXOS) Total 9 años', 'TOTAL (AMBOS SEXOS) Total 90 años', 'TOTAL (AMBOS SEXOS) Total 91 años', 'TOTAL (AMBOS SEXOS) Total 92 años', 'TOTAL (AMBOS SEXOS) Total 93 años', 'TOTAL (AMBOS SEXOS) Total 94 años', 'TOTAL (AMBOS SEXOS) Total 95 años', 'TOTAL (AMBOS SEXOS) Total 96 años', 'TOTAL (AMBOS SEXOS) Total 97 años', 'TOTAL (AMBOS SEXOS) Total 98 años', 'TOTAL (AMBOS SEXOS) Total 99 años', 'total_f']"
schema,type_mismatches,[]
domain,domain_violations,{}
temporal,temporal_issues,{}
