section,metric,value
nulls,total_columns_with_nulls,2
nulls,all_null_issues,"{'genero_victima': {'count': 147, 'pct': 0.39}, 'grupo_etario': {'count': 43, 'pct': 0.11}}"
nulls,priority_alert_issues,{}
duplicates,exact_mirror_duplicates,3210
duplicates,duplicate_sample,"[{'departamento': 'VALLE DEL CAUCA', 'municipio': 'CALI', 'cod_municipio': '76001', 'armas_medios': 'ARMA BLANCA / CORTOPUNZANTE', 'fecha_hecho': Timestamp('2024-03-28 00:00:00'), 'genero_victima': 'FEMENINO', 'grupo_etario': 'ADOLESCENTES', 'cantidad': 1, 'tipo_delito': 'ARTÍCULO 206. ACTO SEXUAL VIOLENTO', 'dimension_delito': 'VIOLENCIA_SEXUAL_DIRECTA', 'anio_hecho': 2024, 'mes_hecho': 'MARZO', 'dia_hecho': 'JUEVES'}, {'departamento': 'VALLE DEL CAUCA', 'municipio': 'CALI', 'cod_municipio': '76001', 'armas_medios': 'ARMA BLANCA / CORTOPUNZANTE', 'fecha_hecho': Timestamp('2024-03-21 00:00:00'), 'genero_victima': 'FEMENINO', 'grupo_etario': 'ADOLESCENTES', 'cantidad': 1, 'tipo_delito': 'ARTÍCULO 206. ACTO SEXUAL VIOLENTO', 'dimension_delito': 'VIOLENCIA_SEXUAL_DIRECTA', 'anio_hecho': 2024, 'mes_hecho': 'MARZO', 'dia_hecho': 'JUEVES'}, {'departamento': 'VALLE DEL CAUCA', 'municipio': 'CALI', 'cod_municipio': '76001', 'armas_medios': 'ARMA BLANCA / CORTOPUNZANTE', 'fecha_hecho': Timestamp('2024-04-17 00:00:00'), 'genero_victima': 'FEMENINO', 'grupo_etario': 'ADULTOS', 'cantidad': 1, 'tipo_delito': 'ARTÍCULO 206. ACTO SEXUAL VIOLENTO', 'dimension_delito': 'VIOLENCIA_SEXUAL_DIRECTA', 'anio_hecho': 2024, 'mes_hecho': 'ABRIL', 'dia_hecho': 'MIERCOLES'}]"
schema,missing_from_type_rules,"['TOTAL Hombres', 'TOTAL Mujeres', 'TOTAL Total', 'agresor', 'area_geo', 'ciclo_vital', 'circunstancia', 'dias_incapacidad', 'dimension_agresor', 'dimension_circunstancia', 'dimension_discapacidad', 'dimension_escenario', 'dimension_etnia', 'discapacidad', 'escenario', 'etnia', 'factor', 'grupo_edad', 'hora_rango', 'pob_f_0_17', 'pob_f_18_mas', 'pob_f_total', 'pob_h_0_17', 'pob_h_18_mas', 'pob_h_total', 'sexo_agresor', 'total_h', 'total_m']"
schema,extra_columns_not_in_rules,['dimension_delito']
schema,type_mismatches,[]
domain,domain_violations,{}
temporal,temporal_issues,{}
numeric,numeric_sanity_issues,{}
