departamento,municipio,cod_municipio,armas_medios,fecha_hecho,genero_victima,grupo_etario,cantidad,tipo_delito,dimension_delito,anio_hecho,mes_hecho,dia_hecho
VALLE DEL CAUCA,CALI,76001,ARMA BLANCA / CORTOPUNZANTE,2024-03-28,FEMENINO,ADOLESCENTES,1,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,VIOLENCIA_SEXUAL_DIRECTA,2024,MARZO,JUEVES
VALLE DEL CAUCA,CALI,76001,ARMA BLANCA / CORTOPUNZANTE,2024-03-21,FEMENINO,ADOLESCENTES,1,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,VIOLENCIA_SEXUAL_DIRECTA,2024,MARZO,JUEVES
VALLE DEL CAUCA,CALI,76001,ARMA BLANCA / CORTOPUNZANTE,2024-04-17,FEMENINO,ADULTOS,1,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,VIOLENCIA_SEXUAL_DIRECTA,2024,ABRIL,MIERCOLES
VALLE DEL CAUCA,CALI,76001,ARMA BLANCA / CORTOPUNZANTE,2024-04-17,FEMENINO,ADULTOS,1,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,VIOLENCIA_SEXUAL_DIRECTA,2024,ABRIL,MIERCOLES
VALLE DEL CAUCA,CALI,76001,ARMA BLANCA / CORTOPUNZANTE,2024-04-17,FEMENINO,ADULTOS,1,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,VIOLENCIA_SEXUAL_DIRECTA,2024,ABRIL,MIERCOLES
VALLE DEL CAUCA,CALI,76001,ARMA BLANCA / CORTOPUNZANTE,2024-04-17,FEMENINO,ADULTOS,1,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,VIOLENCIA_SEXUAL_DIRECTA,2024,ABRIL,MIERCOLES
VALLE DEL CAUCA,CALI,76001,ARMA BLANCA / CORTOPUNZANTE,2024-04-17,FEMENINO,ADULTOS,1,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,VIOLENCIA_SEXUAL_DIRECTA,2024,ABRIL,MIERCOLES
VALLE DEL CAUCA,CALI,76001,ARMA BLANCA / CORTOPUNZANTE,2024-05-03,FEMENINO,ADULTOS,1,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,VIOLENCIA_SEXUAL_DIRECTA,2024,MAYO,VIERNES
VALLE DEL CAUCA,CALI,76001,ARMA BLANCA / CORTOPUNZANTE,2024-06-14,FEMENINO,ADULTOS,1,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,VIOLENCIA_SEXUAL_DIRECTA,2024,JUNIO,VIERNES
VALLE DEL CAUCA,CALI,76001,ARMA BLANCA / CORTOPUNZANTE,2024-06-21,FEMENINO,ADULTOS,1,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,VIOLENCIA_SEXUAL_DIRECTA,2024,JUNIO,VIERNES
VALLE DEL CAUCA,CALI,76001,ARMA BLANCA / CORTOPUNZANTE,2024-05-04,FEMENINO,ADULTOS,1,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,VIOLENCIA_SEXUAL_DIRECTA,2024,MAYO,SABADO
VALLE DEL CAUCA,CALI,76001,ARMA BLANCA / CORTOPUNZANTE,2024-07-20,FEMENINO,ADOLESCENTES,1,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,VIOLENCIA_SEXUAL_DIRECTA,2024,JULIO,SABADO
VALLE DEL CAUCA,CALI,76001,ARMA BLANCA / CORTOPUNZANTE,2024-07-15,FEMENINO,ADULTOS,1,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,VIOLENCIA_SEXUAL_DIRECTA,2024,JULIO,LUNES
VALLE DEL CAUCA,CALI,76001,ARMA BLANCA / CORTOPUNZANTE,2024-07-13,FEMENINO,ADULTOS,1,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,VIOLENCIA_SEXUAL_DIRECTA,2024,JULIO,SABADO
