departamento,municipio,cod_municipio,armas_medios,fecha_hecho,genero_victima,grupo_etario,cantidad,anio_hecho,mes_hecho,dia_hecho
CAUCA,POPAYAN,19001,SIN EMPLEO DE ARMAS,2025-05-26,FEMENINO,ADULTOS,1,2025,MAYO,LUNES
CAUCA,POPAYAN,19001,SIN EMPLEO DE ARMAS,2022-07-15,FEMENINO,ADULTOS,1,2022,JULIO,VIERNES
VALLE DEL CAUCA,CALI,76001,SIN EMPLEO DE ARMAS,2022-08-23,FEMENINO,ADULTOS,1,2022,AGOSTO,MARTES
NARIÑO,PASTO,52001,SIN EMPLEO DE ARMAS,2023-01-03,FEMENINO,ADULTOS,1,2023,ENERO,MARTES
NARIÑO,SAN ANDRES DE TUMACO,52835,SIN EMPLEO DE ARMAS,2023-04-03,FEMENINO,ADULTOS,1,2023,ABRIL,LUNES
VALLE DEL CAUCA,BUENAVENTURA,76109,SIN EMPLEO DE ARMAS,2023-05-01,FEMENINO,ADULTOS,1,2023,MAYO,LUNES
VALLE DEL CAUCA,GUADALAJARA DE BUGA,76111,SIN EMPLEO DE ARMAS,2021-08-05,MASCULINO,ADULTOS,1,2021,AGOSTO,JUEVES
VALLE DEL CAUCA,BOLIVAR,76100,SIN EMPLEO DE ARMAS,2021-11-01,FEMENINO,ADULTOS,1,2021,NOVIEMBRE,LUNES
NARIÑO,SAN ANDRES DE TUMACO,52835,SIN EMPLEO DE ARMAS,2019-04-16,FEMENINO,ADULTOS,1,2019,ABRIL,MARTES
CAUCA,POPAYAN,19001,CONTUNDENTES,2025-11-19,FEMENINO,ADULTOS,1,2025,NOVIEMBRE,MIERCOLES
CAUCA,POPAYAN,19001,CONTUNDENTES,2025-02-26,FEMENINO,ADULTOS,1,2025,FEBRERO,MIERCOLES
CAUCA,POPAYAN,19001,CONTUNDENTES,2025-10-27,FEMENINO,ADULTOS,1,2025,OCTUBRE,LUNES
NARIÑO,PASTO,52001,CONTUNDENTES,2024-01-07,FEMENINO,ADULTOS,1,2024,ENERO,DOMINGO
VALLE DEL CAUCA,YUMBO,76892,CONTUNDENTES,2022-02-21,FEMENINO,ADULTOS,1,2022,FEBRERO,LUNES
CHOCO,RIOSUCIO,27615,CONTUNDENTES,2022-05-16,FEMENINO,ADULTOS,1,2022,MAYO,LUNES
VALLE DEL CAUCA,DAGUA,76233,CONTUNDENTES,2021-04-19,FEMENINO,ADULTOS,1,2021,ABRIL,LUNES
CAUCA,ARGELIA,19050,CONTUNDENTES,2021-06-12,FEMENINO,ADULTOS,1,2021,JUNIO,SABADO
VALLE DEL CAUCA,YUMBO,76892,CONTUNDENTES,2019-03-11,FEMENINO,ADULTOS,1,2019,MARZO,LUNES
CAUCA,SANTANDER DE QUILICHAO,19698,CONTUNDENTES,2018-08-29,FEMENINO,ADULTOS,1,2018,AGOSTO,MIERCOLES
VALLE DEL CAUCA,PALMIRA,76520,CONTUNDENTES,2018-02-08,FEMENINO,ADULTOS,1,2018,FEBRERO,JUEVES
NARIÑO,PASTO,52001,ARMA BLANCA / CORTOPUNZANTE,2019-09-17,FEMENINO,ADULTOS,1,2019,SEPTIEMBRE,MARTES
